place_id,name,latitude,longitude,formatted_address,street_number,route,neighborhood,postal_code,curbside_pickup,price_level,rating,user_ratings_total,sun_open,sun_close,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close
ChIJZapX9vjzNIgRSu7rbfVfChA,Federal Galley,40.4515068,-80.00603389999999,"200 Children's Way, Pittsburgh, PA 15212, USA",200,Children's Way,Allegheny Center,15212,,2,4.5,1986,1000,2100,,,1130,2200,1130,2200,1130,2200,1130,2300,1000,2300
ChIJ09EneFjxNIgRypwsHoGxIE8,Condado Tacos,40.44379209999999,-79.99549449999999,"971 Liberty Ave, Pittsburgh, PA 15222, USA",971,Liberty Avenue,Downtown,15222,,1,4.5,3508,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,0000,1100,0000
ChIJTySFk8PzNIgR9oYnssqat_A,THE LUNCH BOX,40.45721179999999,-80.00781359999999,"1307 Federal St, Pittsburgh, PA 15212, USA",1307,Federal Street,Central Northside,15212,,1,5,13,,,0800,1500,0800,1500,0800,1500,0800,1500,0800,1500,,
ChIJl6nD-7HzNIgRcECP9TxqAgI,Shaka Restaurant,40.4515068,-80.00603389999999,"Inside Federal Galley, 200 Children's Way, Pittsburgh, PA 15212, USA",200,Children's Way,Allegheny Center,15212,,,4,20,1000,2000,,,1130,2000,1130,2000,1130,2000,1130,2100,1000,2100
ChIJL9Eeh873NIgR2hDDPRrp9eQ,McIntosh Eatery,40.4357204,-80.0339726,"410 Greentree Rd, Pittsburgh, PA 15220, USA",410,Greentree Road,West End,15220,True,,,,1100,1900,1100,1900,1100,0700,1100,1900,1100,1900,1100,1900,1100,1900
ChIJT3VNbcL2NIgRJhpHdjLRND0,Pittsburgh Barbecue Company,40.4203608,-80.0306725,"1000 Banksville Ave, Pittsburgh, PA 15216, USA",1000,Banksville Avenue,Banksville,15216,,2,4.3,266,1100,1900,,,,,1100,1900,1100,1900,1100,1900,1100,1900
ChIJa_26Rt32NIgR_dkqGwuJicE,Eat'n Park,40.4171322,-80.0301411,"1250 Banksville Rd, Pittsburgh, PA 15216, USA",1250,Banksville Road,Banksville,15216,False,1,4.1,2208,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300,0700,2300
ChIJC2lwoS73NIgRD03ZeaPgShI,Steel Mill Saloon,40.4381327,-80.0192792,"1225 Grandview Ave, Pittsburgh, PA 15211, USA",1225,Grandview Avenue,Duquesne Heights,15211,False,,4.3,134,0900,0000,1100,0000,1100,0000,1100,0000,1100,0000,1100,0200,0900,0200
ChIJi3B3Jdn2NIgRIBfXm2xDBdU,The Huddle,40.40913889999999,-80.0249461,"1648 Broadway Ave, Pittsburgh, PA 15216, USA",1648,Broadway Avenue,Beechview,15216,,1,4.5,231,,,,,1600,0200,1500,0200,1500,0200,1500,0200,1500,0200
ChIJwW2TOhvxNIgRjQgQNnvtL1g,Shiloh Gastro,40.4309853,-80.0070227,"123 Shiloh St, Pittsburgh, PA 15211, USA",123,Shiloh Street,Mount Washington,15211,True,2,4.4,1075,1100,2100,1600,2200,1600,2200,1600,2200,1200,2200,0000,2300,1200,2300
ChIJuWIkXnf3NIgRTkga-T2a3OU,La Cocina de Betty,40.4103839,-80.024463,"1605 Broadway Ave, Pittsburgh, PA 15216, USA",1605,Broadway Avenue,Beechview,15216,True,,4.4,150,1100,2100,0900,2100,0900,2100,0900,2100,0900,2100,0900,2100,1100,2100
ChIJsZMZQkvxNIgRTT3U6FiRBx4,"Kavsar (No dine in,only take away or delivery)",40.42889600000001,-80.00738299999999,"16 Southern Ave, Pittsburgh, PA 15211, USA",16,Southern Avenue,Mount Washington,15211,True,2,4.3,551,1230,2130,1230,2130,1230,2130,1230,2130,1230,2130,1230,2130,1230,2130
ChIJNeGZU0rxNIgRF4szdKzPtMI,La Tavola Italiana Restaurant,40.4267981,-80.00565309999999,"1 Boggs Ave, Pittsburgh, PA 15211, USA",1,Boggs Avenue,Mount Washington,15211,,2,4.4,362,,,,,1700,2100,1700,2100,1700,2100,1700,2200,1700,2200
ChIJs2Jlv1bxNIgR1BjwPx-efhY,Bluebird Kitchen,40.4405464,-80.0017735,"221 Forbes Ave, Pittsburgh, PA 15222, USA",221,Forbes Avenue,Downtown,15222,,2,4.4,179,,,0700,1500,0700,1500,0700,1500,0700,1500,0700,1500,,
ChIJocY703XxNIgRA9d4UXqFr3Y,Big Dog Coffee,40.4259315,-79.9667171,"2717 Sarah St, Pittsburgh, PA 15203, USA",2717,Sarah Street,South Side Flats,15203,False,1,4.7,823,0730,1700,0600,1700,0600,1700,0600,1700,0600,1700,0600,1700,0730,1700
