place_id,name,business_status,formatted_address,latitude,longitude,price_level,rating,user_ratings_total
ChIJ2Y4TJHL3NIgRTPV6SOYgjO0,Moonlit Burgers Dormont,OPERATIONAL,"1426 Potomac Ave, Pittsburgh, PA 15216",40.395745,-80.0346517,,4.8,256
ChIJYxLMbBf3NIgRx7kqj1SAMOY,Mekong Pho Gourmet,OPERATIONAL,"1429 Potomac Ave, Pittsburgh, PA 15216",40.3955688,-80.034824,1,4.1,181
ChIJ1Vd4DgX3NIgRFCXOWfWXvOw,Coach's Bottleshop & Grille,OPERATIONAL,"3105 Banksville Rd, Pittsburgh, PA 15216",40.400288,-80.0430162,2,4.4,471
ChIJW_5FrHH3NIgRxRZ9yWwkDpU,Bistro 19,OPERATIONAL,"711 Washington Rd, Pittsburgh, PA 15228",40.3800882,-80.0444373,2,4.6,387
ChIJ27fUbRf3NIgRPYEtvsxNlmI,The Dor-Stop Restaurant,OPERATIONAL,"1430 Potomac Ave, Pittsburgh, PA 15216",40.395941,-80.034821,1,4.5,1330
ChIJK5JWBl33NIgRMLT76HpAg3M,Mediterra Cafe Mt. Lebanon,OPERATIONAL,"292 Beverly Rd, Pittsburgh, PA 15216",40.3890457,-80.04953309999999,2,4.5,341
ChIJzR791tD3NIgRLoCRA4f0c80,Bertrand Pittsburgh,OPERATIONAL,"1910 Cochran Rd, Pittsburgh, PA 15220",40.39407629999999,-80.0628045,,4.7,126
ChIJK6WMrnH3NIgRcmA9gvZ5x0o,Totopo Cocina & Cantina,OPERATIONAL,"660 Washington Rd, Pittsburgh, PA 15228",40.38085,-80.0446718,2,4.6,1737
ChIJzSivPST3NIgRi2_ge7NCRnM,Wendy's,OPERATIONAL,"2410 W Liberty Ave, Pittsburgh, PA 15226",40.4002491,-80.0241029,1,3.2,1235
ChIJA05yFiD3NIgRgQjy44EeirI,Big Shot Bob's House of Wings - Beechview,OPERATIONAL,"109 Brookline Blvd, Pittsburgh, PA 15226",40.3979392,-80.02619059999999,2,4.3,279
